Top pages,Clicks,Impressions,CTR,Position
https://www.conditionhealthy.com/trials/arthritis/columbus-oh,0,102,0%,4.96
https://www.conditionhealthy.com/trials/migraine/chandler-az,0,9,0%,9.44
https://www.conditionhealthy.com/trials/diabetes/houston-tx,0,7,0%,9.71
https://www.conditionhealthy.com/trials/psoriasis/chicago-il,0,6,0%,9.33
https://www.conditionhealthy.com/trials/arthritis/raleigh-nc,0,5,0%,8.6
https://www.conditionhealthy.com/trials/diabetes/austin-tx,0,5,0%,9.6
https://www.conditionhealthy.com/trials/psoriasis/santa-ana-ca,0,4,0%,6
https://www.conditionhealthy.com/trials/psoriasis/san-antonio-tx,0,4,0%,12
https://www.conditionhealthy.com/trials/migraine,0,3,0%,6.67
https://www.conditionhealthy.com/trials/eczema,0,3,0%,8.33
https://www.conditionhealthy.com/trials/psoriasis/dallas-tx,0,3,0%,8.67
https://www.conditionhealthy.com/trials/diabetes/bakersfield-ca,0,2,0%,4
https://www.conditionhealthy.com/trials/diabetes/cincinnati-oh,0,2,0%,4.5
https://www.conditionhealthy.com/trials/arthritis/omaha-ne,0,2,0%,5
https://www.conditionhealthy.com/trials/psoriasis/los-angeles-ca,0,2,0%,14.5
https://www.conditionhealthy.com/trials/diabetes/orlando-fl,0,2,0%,17
https://www.conditionhealthy.com/trials/psoriasis/san-diego-ca,0,2,0%,19
https://www.conditionhealthy.com/,0,1,0%,1
https://www.conditionhealthy.com/trials,0,1,0%,3
https://www.conditionhealthy.com/trials/psoriasis/memphis-tn,0,1,0%,4
https://www.conditionhealthy.com/trials/diabetes/baton-rouge-la,0,1,0%,6
https://www.conditionhealthy.com/trials/migraine/tampa-fl,0,1,0%,9
https://www.conditionhealthy.com/trials/migraine/kansas-city-mo,0,1,0%,10
