Top queries,Clicks,Impressions,CTR,Position
rheumatoid arthritis clinical trials columbus ohio,0,25,0%,8.48
chandler arizona migraine clinical research studies,0,7,0%,8
arthritis clinical trials raleigh,0,3,0%,6
arthritis clinical trials omaha,0,2,0%,5
arthritis clinical trials columbus,0,2,0%,8.5
nct07216027,0,2,0%,11
psoriasis clinical trials chicago,0,2,0%,11.5
psoriasis clinical trials san antonio,0,2,0%,12.5
psoriasis clinical trials los angeles,0,2,0%,14.5
diabetes clinical trials orlando,0,2,0%,17
psoriasis clinical trials san diego,0,2,0%,19
vestibular migraine clinical trials near me,0,1,0%,15
diabetes clinical trials houston,0,1,0%,25
